unix_time,px,py,vx,vy,psi,bax,bay,bwz
1744927578275690800,11.1341696701225,9.833500732113361,0.5964507466121459,0.47604798950225,0.04018065205318137,0.0,0.0,0.0
1744927578285649000,11.140230647247199,9.838290604290835,0.6085990545841995,0.4809639797039137,0.042452489253500404,0.0,0.0,0.0
1744927578295607800,11.146293710904672,9.843129303876818,0.6088085689657415,0.48586687144001844,0.0439066139108877,0.0,0.0,0.0
1744927578305566700,11.152304466632257,9.847876964120207,0.6035561886941304,0.476725365591401,0.045338237840283235,0.0,0.0,0.0
1744927578315524900,11.158235944293812,9.852511077945072,0.5955956643359054,0.46532386356581035,0.04712221661375421,0.0,0.0,0.0
1744927578325483800,11.163992680947606,9.85721680104972,0.5780494486131116,0.4725143444203496,0.04797824629851911,0.0,0.0,0.0
1744927578335442700,11.169532098549654,9.861916742062995,0.5562278566957357,0.4719337490360385,0.047762653621916625,0.0,0.0,0.0
1744927578345400800,11.174889957488888,9.866480442067289,0.5379970618477262,0.45825342199368213,0.04670515223237516,0.0,0.0,0.0
1744927578355359700,11.180127638623608,9.87095406465399,0.5259296844750871,0.4492085056283298,0.04543627729184943,0.0,0.0,0.0
1744927578365318700,11.185319522063745,9.87538261119493,0.5213310144832706,0.44468229834014633,0.04435895778618846,0.0,0.0,0.0
1744927578375277800,11.19053499427176,9.879823657321763,0.5236996262654366,0.4459374154608593,0.043318429848996,0.0,0.0,0.0
1744927578385235700,11.195827844749992,9.88437381329705,0.531469387003869,0.4568934295238967,0.041992478063281824,0.0,0.0,0.0
1744927578395195000,11.201279879160895,9.888962470178424,0.5474534748720099,0.4607594093095975,0.04081624650122991,0.0,0.0,0.0
1744927578405153800,11.206980252611345,9.89345781457453,0.5723898673999689,0.4513896510766468,0.04156104380756191,0.0,0.0,0.0
1744927578415111700,11.212914283665404,9.89794591155055,0.5958520573615473,0.4506619180852882,0.04385307205112524,0.0,0.0,0.0
1744927578425070800,11.218961198368504,9.902634127236045,0.6071870089166762,0.47075637725999203,0.04588071974586867,0.0,0.0,0.0
1744927578435029800,11.225007361712175,9.90751415495359,0.6071115628904511,0.4900167405582865,0.04691322706420073,0.0,0.0,0.0
1744927578444987600,11.23102098304161,9.912404621630147,0.6038439315019613,0.49106494457796107,0.04776442932382847,0.0,0.0,0.0
1744927578454946800,11.236995727875494,9.917243637312698,0.5999402377655509,0.485898611548546,0.049191875816469895,0.0,0.0,0.0
1744927578464906000,11.242882227527643,9.922045338370742,0.5910793011426362,0.4821517494948197,0.050835001662135386,0.0,0.0,0.0
1744927578474863900,11.24859998296423,9.926837419103375,0.574135239493053,0.481185746682131,0.051095957169318286,0.0,0.0,0.0
1744927578484822800,11.254127798708653,9.931687052030679,0.5550628828910281,0.48696471772015604,0.05001573237882415,0.0,0.0,0.0
1744927578494782000,11.259547214644186,9.936484150981581,0.5441781658147733,0.4816896395087008,0.04986450444013068,0.0,0.0,0.0
1744927578504739800,11.264885273891274,9.941106719874002,0.5360089213755417,0.46416460577186375,0.05008009904998022,0.0,0.0,0.0
1744927578514699000,11.270086261479952,9.94557282685745,0.5222451865846048,0.44845384364231594,0.048298944075703655,0.0,0.0,0.0
1744927578524658000,11.275234856289968,9.949991190217817,0.5169842864188454,0.4436597777231486,0.0457760610908695,0.0,0.0,0.0
1744927578534616800,11.280523356060435,9.954428718579013,0.5310325207068616,0.4455841871286552,0.04567561355952682,0.0,0.0,0.0
1744927578544575000,11.285959202052727,9.958874676497746,0.5458279521123139,0.44643062172871917,0.0466274186615369,0.0,0.0,0.0
1744927578554534000,11.29143637463151,9.963327566668877,0.5499776660859921,0.4471267078824929,0.045863049418823305,0.0,0.0,0.0
1744927578564494000,11.296995255098185,9.967790038477304,0.5581821754083844,0.4480888259172796,0.04493536191351552,0.0,0.0,0.0
1744927578574452200,11.302767129361794,9.972377676531801,0.5795694568283775,0.46065710615599326,0.0463635683583281,0.0,0.0,0.0
1744927578584411100,11.308702498845019,9.977117532734448,0.5959864526428899,0.4759417408194154,0.04901896236789516,0.0,0.0,0.0
1744927578594370000,11.314632935964191,9.981868548352386,0.5954911806698002,0.4770622877966624,0.05004592527047984,0.0,0.0,0.0
1744927578604328200,11.320485168450793,9.986702078005822,0.5876384426594683,0.48534774457382696,0.04942029834831648,0.0,0.0,0.0
1744927578614287000,11.326341781514598,9.991562423137832,0.5880783082272916,0.4880403590769611,0.05024935596377098,0.0,0.0,0.0
1744927578624246000,11.332220102505248,9.99641904676859,0.5902580596903843,0.48766667310228673,0.05238548716484377,0.0,0.0,0.0
1744927578634204200,11.337996000829213,10.001302404882102,0.579973523578436,0.490351154596605,0.05342229635263751,0.0,0.0,0.0
1744927578644163000,11.343607414926746,10.006086019750962,0.5634572189231315,0.48033566647514525,0.05326545253471933,0.0,0.0,0.0
1744927578654122200,11.349076696938557,10.010785222505971,0.5491853529817626,0.47185961853314073,0.0529453701631134,0.0,0.0,0.0
1744927578664081200,11.354418578718853,10.01546992789523,0.5363927522413632,0.4704038989505197,0.0524500378272088,0.0,0.0,0.0
1744927578674039000,11.359663142696263,10.019957166455102,0.5266208092671281,0.4505757222054082,0.051945022259687806,0.0,0.0,0.0
1744927578683998200,11.364855486740957,10.024270357528502,0.5213772650287092,0.43309914482527484,0.051788857599865366,0.0,0.0,0.0
1744927578693957000,11.36999937049349,10.028765488729281,0.5165112364349559,0.4513682435588661,0.0515059647847633,0.0,0.0,0.0
1744927578703915000,11.375092961733623,10.033354205319748,0.5114612296672477,0.46076540486067624,0.05074026173027188,0.0,0.0,0.0
1744927578713874200,11.380148735331506,10.037876990303184,0.507663858245764,0.4541450344352298,0.048285760491318566,0.0,0.0,0.0
1744927578723833000,11.385280320024053,10.042374829076337,0.5152762546614652,0.4516401182011785,0.04615214100597682,0.0,0.0,0.0
1744927578733791200,11.390667234916654,10.046855666733894,0.5409146484652345,0.4499329903459044,0.04716053219710621,0.0,0.0,0.0
1744927578743750100,11.396276523652388,10.051472974469183,0.5632438056145224,0.4636363187992304,0.048632830410964376,0.0,0.0,0.0
1744927578753709000,11.401970189229417,10.056371659181425,0.5717163117441632,0.49189013969835976,0.04813067623922077,0.0,0.0,0.0
1744927578763667200,11.407798950770365,10.061325846442466,0.5852816617245199,0.49746330026825075,0.04864246691944858,0.0,0.0,0.0
1744927578773626000,11.41379303414098,10.066143907751396,0.6018820723789818,0.4837945263964784,0.05181075637414194,0.0,0.0,0.0
1744927578783585000,11.419760157505806,10.070904043468213,0.5991749455085555,0.4779780615144564,0.054122538625381515,0.0,0.0,0.0
1744927578793544000,11.425573736872824,10.07567161395946,0.5837571787063912,0.4787246072607252,0.05484182203268894,0.0,0.0,0.0
1744927578803502000,11.431234738514885,10.080496226052166,0.5684364379661817,0.48445230825739394,0.0554104592796866,0.0,0.0,0.0
1744927578813461000,11.436724496682764,10.085387705887168,0.5512414190200536,0.49116667854913243,0.05516722156206856,0.0,0.0,0.0
1744927578823420200,11.442036667143809,10.090064678496482,0.5334093585681106,0.46962742966732335,0.053799956188249246,0.0,0.0,0.0
1744927578833378000,11.447250182522648,10.094445175456197,0.5235031357719925,0.43985751033902754,0.05221322535327416,0.0,0.0,0.0
1744927578843337000,11.452472266091755,10.098819507978215,0.5243634908581031,0.43923852252927886,0.05193309495170028,0.0,0.0,0.0
1744927578853296000,11.457734822857004,10.103298225620364,0.5284275136058746,0.44972011388290944,0.0524687091159592,0.0,0.0,0.0
1744927578863254000,11.462977423075058,10.107788657023148,0.5264236228954337,0.450896324170685,0.05161615700295071,0.0,0.0,0.0
1744927578873213000,11.468217901012986,10.112228598688997,0.526210519025995,0.44582651355554004,0.04969284437532898,0.0,0.0,0.0
1744927578883172000,11.473597200724198,10.116690675383369,0.5401499875701379,0.4480491514496889,0.04938062767935348,0.0,0.0,0.0
1744927578893130000,11.47919498586572,10.121222004320048,0.5620886987038866,0.45500295581632716,0.05108071847723006,0.0,0.0,0.0
1744927578903089200,11.484900302439542,10.125903822873308,0.5728862197452931,0.4701140239645381,0.05215334469611525,0.0,0.0,0.0
1744927578913048000,11.490634100319213,10.130729235195465,0.5757461044563755,0.4845326614542252,0.05208056923298773,0.0,0.0,0.0
1744927578923007000,11.496443466426312,10.135604830237483,0.583334113918228,0.489571643657165,0.053215226974490416,0.0,0.0,0.0
1744927578932965000,11.502296897408424,10.140495143971162,0.5877587868251547,0.4910495871710985,0.05480101865079939,0.0,0.0,0.0
1744927578942924000,11.508107556158624,10.145403639850237,0.5834639116970213,0.4928753054127813,0.05571422839237839,0.0,0.0,0.0
1744927578952883000,11.51383210047314,10.150265762671602,0.5748169290299231,0.4882188616579249,0.05602351537736447,0.0,0.0,0.0
1744927578962841000,11.519486542366092,10.155099188276168,0.5677777558718594,0.4853372967461932,0.05586297558526302,0.0,0.0,0.0
